motusRecvID,recvProjectID,receiverID,recvDeployID,port,radioType,antennaType,bearing,tilt,polBearing,polTilt,heightMeters,filter,cableLengthMeters,cableType,mountDistanceMeters,mountBearing,details,elevationAngle,polarization1,polarization2,deploymentStatus
402,1,SG-5113BBBK2839,1994,3,,yagi-9,180,,,,,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2124,1,,yagi-9,85,,,,6,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2124,2,,yagi-9,275,,,,5.8,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2124,3,,yagi-9,180,,,,5.6,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2924,1,,yagi-9,85,,,,6,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2924,2,,yagi-9,275,,,,5.8,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,2924,3,,yagi-9,180,,,,5.6,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,3220,1,,yagi-9,85,,,,6,,,,,,,,,,deployed
402,1,SG-5113BBBK2839,3220,2,,yagi-9,275,,,,5.8,,,,,,,,,,deployed
402,1,SG-5113BBBK2839,3220,3,,yagi-9,180,,,,5.6,,,,,,,,,,deployed
403,1,SG-5113BBBK2911,680,1,,yagi-9,15,,,,6,,7.62,,,,,,,,terminated
403,1,SG-5113BBBK2911,680,2,,yagi-9,245,,,,5.8,,7.62,,,,,,,,terminated
403,1,SG-5113BBBK2911,680,3,,yagi-9,115,,,,5.6,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,656,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,656,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,656,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,2024,1,,yagi-9,0,,,,4.5,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,2024,2,,yagi-9,240,,,,4.3,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,2024,3,,yagi-9,120,,,,4.1,,7.62,,,,,,,,terminated
404,1,SG-5113BBBK2917,2126,1,,yagi-9,0,,,,6,,,,,,,,,,terminated
404,1,SG-5113BBBK2917,2126,2,,yagi-9,240,,,,5.8,,,,,,,,,,terminated
404,1,SG-5113BBBK2917,2126,3,,yagi-9,120,,,,5.6,,,,,,,,,,terminated
404,1,SG-5113BBBK2917,2181,1,,yagi-9,60,,,,6,,,,,,,,,,deployed
404,1,SG-5113BBBK2917,2181,2,,yagi-9,270,,,,5.8,,,,,,,,,,deployed
404,1,SG-5113BBBK2917,2181,3,,yagi-9,150,,,,5.6,,,,,,,,,,deployed
405,1,SG-5113BBBK3017,662,1,,yagi-9,315,,,,6,,7.62,,,,,,,,terminated
405,1,SG-5113BBBK3017,662,2,,yagi-9,210,,,,5.6,,7.62,,,,,,,,terminated
405,1,SG-5113BBBK3017,662,3,,yagi-9,90,,,,5.8,,7.62,,,,,,,,terminated
405,1,SG-5113BBBK3017,2013,1,,yagi-9,315,,,,,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,2013,2,,yagi-9,210,,,,,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,2013,3,,yagi-9,90,,,,,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,2128,1,,yagi-9,0,,,,6,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,2128,2,,yagi-9,275,,,,5.8,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,2128,3,,yagi-9,70,,,,5.6,,,,,,,,,,terminated
405,1,SG-5113BBBK3017,3761,2,,yagi-9,275,,,,5.8,,,,,,,,,,deployed
405,1,SG-5113BBBK3017,3761,3,,yagi-9,70,,,,5.6,,,,,,,,,,deployed
406,1,SG-5113BBBK3062,679,1,,yagi-9,115,,,,13.7,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,679,2,,yagi-9,250,,,,13.1,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,679,3,,yagi-9,15,,,,12.19,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,768,1,,yagi-9,115,,,,13.7,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,768,2,,yagi-9,250,,,,13.1,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,768,3,,yagi-9,15,,,,12.19,,7.62,,,,,,,,terminated
406,1,SG-5113BBBK3062,2011,1,,yagi-9,115,,,,,,,,,,,,,,terminated
406,1,SG-5113BBBK3062,2011,2,,yagi-9,250,,,,,,,,,,,,,,terminated
406,1,SG-5113BBBK3062,2011,3,,yagi-9,15,,,,,,,,,,,,,,terminated
406,1,SG-5113BBBK3062,2129,1,,yagi-9,115,,,,13.7,,,,,,,,,,deployed
406,1,SG-5113BBBK3062,2129,2,,yagi-9,250,,,,13.1,,,,,,,,,,deployed
406,1,SG-5113BBBK3062,2129,3,,yagi-9,15,,,,12.2,,,,,,,,,,deployed
407,1,SG-5113BBBK3078,655,1,,yagi-9,340,,,,6,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,655,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,655,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,756,1,,yagi-9,20,,,,6,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,756,2,,yagi-9,280,,,,5.8,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,756,3,,yagi-9,220,,,,5.6,,7.62,,,,,,,,terminated
407,1,SG-5113BBBK3078,3764,1,,yagi-9,20,,,,6,,7.62,,,,,,,,deployed
407,1,SG-5113BBBK3078,3764,3,,yagi-9,220,,,,5.6,,7.62,,,,,,,,deployed
408,1,SG-5113BBBK3084,661,1,,yagi-9,320,,,,6,,7.62,,,,,,,,terminated
408,1,SG-5113BBBK3084,661,2,,yagi-9,260,,,,5.6,,7.62,,,,,,,,terminated
408,1,SG-5113BBBK3084,661,3,,yagi-9,140,,,,5.8,,7.62,,,,,,,,terminated
