"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"13512",18323206,1441896651.5179,-68.4403,18.729099,-78.057602,4.5495,0.077471,0.00022,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13513",18323207,1441896651.518,-65.821503,16.9266,-76.747299,3.85925,0.014485,0.00024,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13514",18323208,1441896657.6139,-69.091904,30.874701,-78.571098,4.58425,0.043527,4e-05,0.00012,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13515",18323209,1441896657.614,-65.9711,65.492996,-77.294899,3.86325,0.014039,0.00024,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13516",18323210,1441896663.7102,-67.126297,17.764601,-77.128304,4.5655,0.023383,0.00014,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13517",18323211,1441896663.7103,-66.0093,49.4133,-77.476303,3.86425,0.009367,0.00032,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13518",18323212,1441896669.8063,-64.748199,56.9776,-76.585098,3.85875,0.008053,0.00042,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13519",18323213,1441896669.8063,-65.260803,28.164801,-77.014198,4.5335,0.046329,0.00036,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13520",18323214,1441896675.9025,-66.7089,39.736698,-76.672699,3.8495,0.007308,4e-05,0.00012,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13521",18323215,1441896675.9026,-66.2929,25.5362,-78.253403,4.5315,0.042642,0.00032,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13522",18323216,1441896681.9986,-65.970001,34.524799,-78.2164,4.57125,0.020731,4e-05,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
